"UMKM Name","Product","Asset Total (Rp. Juta)","Annual Sales (Rp. Juta)","Employees","Survey Conducted","","","","","",""
"Ratna Bunga","Manik","139,100,000","24,600,000","1","2013","","","","","",""
"Andi Nurhayati","Tenun","164,200,000","59,000,000","1","2013","","","","","",""
"Srimarsida","Tenun","116,950,000","52,000,000","1","2013","","","","","",""
"Sitti Paisa","Tenun","99,700,000","52,000,000","1","2013","","","","","",""
"Marwiyah","Tenun","127,650,000","45,600,000","1","2013","","","","","",""
"Mulyana","Tenuninda","152,300,000","42,300,000","2","2013","","","","","",""
"Jumiati","Tenun","100,800,000","85,000,000","1","2013","","","","","",""
"Hernawati","Tenun","109,400,000","29,500,000","1","2013","","","","","",""
"Andi Risma","Manik","147,860,000","41,700,000","1","2013","","","","","",""
"Erni Susanti","Tenun","132,000,000","45,600,000","1","2013","","","","","",""
"Murni","Tenun","144,000,000","29,500,000","1","2013","","","","","",""
"Inaga","Tenun","220,310,000","44,920,000","1","2913","","","","","",""
"Masniati","Tenun","135,520,000","33,800,000","3","2013","","","","","",""
"Badaruddin","Tenun","168,550,000","56,100,000","3","2013","","","","","",""
"Suriani","Manik","171,900,000","45,300,000","1","2013","","","","","",""
"Bung Rosi","Tenun","159,800,000","66,000,000","3","2013","","","","","",""
"Rahma","Tenun","128,700,000","29,500,000","1","2013","","","","","",""
"Anirah","TENUN","109,700,000","66,000,000","1","2013","","","","","",""
"Basnawati","Manik","83,550,000","29,400,000","1","2013","","","","","",""
"Fetty","Manik","15,375,000","43,400,000","1","2013","","","","","",""
"Duha","Manik","150,085,000","29,220,000","1","2013","","","","","",""
"Samsinar","Manik","89,740,000","26,800,000","1","2013","","","","","",""
"Sitti","Manik","107,000,000","22,800,000","1","2013","","","","","",""
"Vivi Sarniah","Manik","8,500,000","25,200,000","1","2013","","","","","",""
"Mas Duha","Manik","100,000,000","24,400,000","1","2013","","","","","",""
"Harimah","Tenun","151,930,000","47,600,000","3","2013","","","","","",""
"Rafika","Tenun","178,250,000","45,200,000","1","2013","","","","","",""
"JAWARIAH","Tenun","156,000,000","47,400,000","1","2013","","","","","",""
