"UMKM Name","Product","Asset Total (Rp. Juta)","Annual Sales (Rp. Juta)","Employees","Survey Conducted","","","","","",""
"Meubel Rotan Tunas Harapan","Meubel Rotan Kursi","68","156","4","2012","","","","","",""
"Industri Kecambah","Industri Kecambah","87.4","252","3","2011","","","","","",""
"Industri Mainan","Industri Mainan","33.7","91.2","1","2011","","","","","",""
"Industri Keripik","Industri Keripik","90.78","11.1","1","2011","","","","","",""
"Batik Tulis Ibu Sartirun","Batik Tulis","47","142","15","2012","","","","","",""
"Krupuk Haa Putra","Krupuk Kulit","124","148","3","2009","","","","","",""
"Sagon Garuda","Sagon","60","96","22","2009","","","","","",""
"Anwar Collection","Kaos","40","116","3","2009","","","","","",""
"Krecek Sunaryo""","Krecek Kulit","173.5","148","2","2009","","","","","",""
"Genteng ""JTS""","Genteng","96","176","4","2009","","","","","",""
"Sale Pisang ""Faisal""","Sale Pisang","69","260","3","2009","","","","","",""
"Batik Tulis","Garmen / Batik","5.03","10","1","2014","","","","","",""
"Pupuk Kandang Ilham","Pengolahan Pupuk Kandang","22.2","6","2","2014","","","","","",""
"Kue Piya Bu Sri","Kue Pia","22","94.6","2","2014","","","","","",""
"Empek Empek Mbak Lulu","Mpek - Mpek","25.5","168.48","1","2014","","","","","",""
"Anisa Foto Copy","Foto Copy","245","446","1","2012","","","","","",""
"Altje","Kerajinan Gerabah","38.6","22.05","2","2009","","","","","",""
"Selvi","Kerajinan Gerabah","39","21.75","1","2009","","","","","",""
"Harapan Jaya","Pembuatan Pagar Besi Dan Canopy","422","124","5","2011","","","","","",""
"Darma Agung","Panglong","219","840","2","2010","","","","","",""
"Kerajina Eceng Gondok Rama 21","Kerajinan Eceng Gondok","212.75","21","3","2010","","","","","",""
"Pabrik Tahu Fanindi","Pembuatan Tahu - Tempe","121","768","5","2012","","","","","",""
"Depot Air Fransiska","Depot Air","631","61","1","2012","","","","","",""
"Darul Foto Copy","Foto Copy","70","110","1","2012","","","","","",""
"Foto Copy Restu Alam","Foto Copy","141","50","1","2012","","","","","",""
"RIZKY Sale Pisang Basah","Produksi Sale Pisang Basah","137","50","6","2013","","","","","",""
"UD.Mayumi","Pembuatan Gorong-Gorong","109.7","621","7","2008","","","","","",""
"Usaha Gorong-Gorong Dg.Sami","Pembuatan Gorong-Gorong","336","117","8","2008","","","","","",""
"Usaha Tenun Sutera Dg.Basse","Pembuatan Kain Sutera","268.8","43.2","3","2008","","","","","",""
"Anyaman Bambu Dg.Nambung","Pembuatan Anyaman","13.13","116","4","2008","","","","","",""
"Meubel Gaffar Dg. Ngalle","Pembuatan Meubel","37","166","4","2008","","","","","",""
"Usaha Kripik Ubi Dg. Rani","Pembuatan Keripik","20.65","19.6","3","2008","","","","","",""
"Usaha Sarung Sutera Sunggu","Pembuatan Kain Sutera","36.5","64","2","2008","","","","","",""
"Meubel Kahar","Pembuatan Meubel","61","95","2","2008","","","","","",""
"Keramik Tunas MUDa","Pembuatan Pot","13.02","13.2","7","2008","","","","","",""
"Bengkel Las Hasan Jaya","Pembuatan Pagar dan Teralis","63","68","6","2008","","","","","",""
"Sipatetein","Pembuatan Batu Bata","71","235","10","2008","","","","","",""
"Keripik Belut Sopo Nyono","Pembuatan Keripik Belut","32,320,000","265.2","3","2011","","","","","",""
"Tempe "" Yoyok ""","Pembuatan Tempe","21,175,000","144","3","2011","","","","","",""
"Ngudi Rejeki","Pabrik Tahu","60,100,000","270","7","2011","","","","","",""
"Padi Unggul","Rice Mill","167,000,000","270","4","2011","","","","","",""
"Kranjang Plastik Suyadi","Pembuatan Anyaman Plastik (bandit)","5,430,000","43.2","1","2011","","","","","",""
"Usaha Cumi-Cumi Bu Isna","Pengolahan Pangsit Cumi-cumi","14,530,000","60.84","0","2011","","","","","",""
"Usaha Tembakau Mujiman","Tembakau Rajang","16,300,000","261","2","2011","","","","","",""
"Pertenunan Sutera Cora Laba","Pembuatan Kain Sutera","155","318.5","2","2008","","","","","",""
"Pembuat Bosara Daeng Ngintang","Pembuatan Bosara","64.64","490.5","8","2008","","","","","",""
"Usaha Kelompok Batu Merah Dirgah","Pembuatan Batu Bata","154.3","580","8","2008","","","","","",""
"Usaha Tempe Gito","Pembuatan Keris","107","304","3","2008","","","","","",""
"Usaha Tempe Resky","Pembuatan Tempe","82.8","403.5","3","2008","","","","","",""
"Usaha Perahu SyarUDdin","Pembuatan Perahu","90","1,400","2","2008","","","","","",""
"Usaha Gorong-Gorong Dg Baji","Pembuatan Gorong-gorong","777","945","6","2008","","","","","",""
"Usaha Bosara Dg Jaro","Pembuatan Bosara","31.31","799.7","5","2008","","","","","",""
"Usaha Nyiru Dg Kanang","Pembuatan Nyiru","23.23","160","9","2008","","","","","",""
"Usaha Batu Merah Makmur Jaya","Pembuatan Batu Bata","45.45","243.5","7","2008","","","","","",""
"Pengusaha Pembuat Batu Merah Putrajaya","Pembuatan Batu Bata","36.96","243","7","2008","","","","","",""
"Jagung Goreng Dg Senga","Pembuatan Jagung Goreng","20.6","349","4","2008","","","","","",""
"Pengelola Songkok Muh Dg Ngasa","Pembuatan Songkok","78.2","61.5","2","2008","","","","","",""
"Chips Mangga Tojagowa","Pembuatan Keripik","24","57.6","10","2008","","","","","",""
"Tenun Sutera Dg.Nginga","Pembuatan Kain Sutera","22.8","56","2","2008","","","","","",""
"Meubel Jatmika","Pembuatan Meubel","50","899","2","2008","","","","","",""
"Ratu Elhana Bulan Purnama Super Solo","Batik Tulis","4,550","0","52","2012","","","","","",""
"Pawiro Sumanto","Pengolahan Makanan","2,034","30,780","3","2012","","","","","",""
"Batik Tulis ""Sido Luhur""","Batik Tulis","95","0","30","2012","","","","","",""
"Jasmine","Produksi Batik Tulis","396","63","5","2013","","","","","",""
"Sidodadi","Produksi Kacang, Marning","214","122","6","2013","","","","","",""
"Criping Lestari","Memproduksi Criping","163","132","6","2013","","","","","",""
"Snack Bintang Mandiri","Produksi Makanan","71","93","3","2013","","","","","",""
"Gorengan Kaming","Menjual Gorengan","60","105","3","2010","","","","","",""
"Yuli Sutrisno","Pembuatan Tempe","35.58","100.8","2","2008","","","","","",""
"Imron Bin Halim","Pembuatan Kerupuk","4.05","97.2","4","2008","","","","","",""
"Konveksi Juli","Pembuatan Sandal Wanita","241","44","7","2008","","","","","",""
"Null","Pembuatan Sepatu","82.7","1,950","3","2008","","","","","",""
"Null","Pembuatan Kuali, Linggis, Pahat,Pipa Wc Dan Lain-Lain","122","307","19","2008","","","","","",""
"Klop House","Pembuatan Brownies","50.37","102","10","2008","","","","","",""
"Ima Brownies","Pembuatan Busana Muslim, Kebaya","60","960","2","2008","","","","","",""
"Devi Cake Shop","Pembuatan Besi Pagar,Jerjak, Pintu","6.5","339","5","2008","","","","","",""
"Citra Ateliar","Pembuatan Besi Pagar,Jerjak, Pintu","2.95","216","5","2008","","","","","",""
"Sandiyah","Konveksi","58","60","5","2009","","","","","",""
"UD Regina Jaya","Industri Rumah Tangga","226.7","84.6","5","2009","","","","","",""
"Bata Merah Pak Wage Sumarso","Industri Bata Merah","198","54","5","2013","","","","","",""
"Keripik Tepe Sari Dele","Industri Keripik Tempe","140","236","7","2013","","","","","",""
"Keripik Dua Putra","Industri Keripik","63","53","5","2013","","","","","",""
"Lanting Bu Ngadiah","Industri Lanting","129","185","13","2013","","","","","",""
"Komariah","Pembuatan Tempe","208.06","120","4","2008","","","","","",""
"Dandang Suhaidi","Pembuatan Dandang","36.36","100.5","3","2008","","","","","",""
"Herman Kustiawan","Pembuatan Kerupuk","13.43","216","4","2008","","","","","",""
"Raswin","Pembuatan Tempe","8.5","42","2","2008","","","","","",""
"Dandang Rivai","Pembuatan Dandang","54.5","31","4","2008","","","","","",""
"Dandang Royana","Pembuatan Dandang","4.75","26","1","2008","","","","","",""
"Ahmad Jaimuri","Pembuatan Kerupuk","14.79","24","3","2008","","","","","",""
"Melati","Pembuatan Dodol","23.3","64","10","2008","","","","","",""
"M Salim","Pembuatan Kerupuk","39.5","85","8","2008","","","","","",""
"Taryo","Pembuatan Tahu Goreng","54","336","5","2008","","","","","",""
"Percetakan Purnama","Percetakan","29.4","192","4","2008","","","","","",""
"Muhtar","Pembuatan Kerupuk","34.3","120","6","2008","","","","","",""
"Suparman","Pembuatan Kerupuk","29","360","6","2008","","","","","",""
"Saodah","Pembuatan Dandang","52.65","88","1","2008","","","","","",""
"Dandang Zandariah","Pembuatan Dandang","24.3","26","6","2008","","","","","",""
"Tahu Rusyanto","Pembuatan Tahu Goreng","45.76","360","5","2008","","","","","",""
"Tempe Ipal","Pembuatan Tempe","12.92","25.2","1","2008","","","","","",""
"Refi Sari","Pembuatan Selai","5.45","8","3","2008","","","","","",""
"Wajik Nanas Asli Up2K Kenangan","Pembuatan Wajik","10.77","8.5","5","2008","","","","","",""
"Konveksi Karya Remaja","Pembuatan Pakaian","277","336","6","2008","","","","","",""
"Bengkel Las Riska","Pembuatan Pagar dan Teralis","320","37","1","2008","","","","","",""
"Bella Silver Art","Pembuatan Asesoris","948","960","37","2008","","","","","",""
"Ayu Gorden","Pembuatan Gorden","76","340","7","2008","","","","","",""
"Bengkel Las Nur Hidayat","Pembuatan Pagar, Kanopi dan Teralis","81","340","4","2008","","","","","",""
"Penjahit Al Fath","Pembuatan Pakaian","36.7","90","15","2008","","","","","",""
"Gendhewa Woodcraft","Pengolahan Kayu","62.1","36","5","2008","","","","","",""
"Soto Kudus Pak Dhalil","Pembuatan Soto","45.83","141.3","4","2008","","","","","",""
"Exis Collection","Pembuatan Tas","190.8","164","9","2008","","","","","",""
"Imam Harso Riadji","Pembuatan Tas","62.2","48","4","2008","","","","","",""
"Yuni Batik","Pembuatan Topeng","26","90","10","2008","","","","","",""
"Batubata Pak Hadiwiasa","Industri Batubata","60","57","5","2013","","","","","",""
"Batubata Pak Sarjono","Industri Batubara","265","66","6","2013","","","","","",""
"Tempe Pak Triyat","Pengolahan Tempe","357","106","5","2013","","","","","",""
"Industri Tahu","Industri Tahu","69","602","6","2013","","","","","",""
"Telur Asin Bu Hartati","Industri Telor Asin","15","49","5","2013","","","","","",""
"Tahu Desa","Pabrik Tahu","56.7","97.2","2","2009","","","","","",""
"Bata Expres","Bata","43","360","4","2013","","","","","",""
"Pembuatan Gula Merah/Nira Kelapa","Pembuatan Gula Merah","4","28.8","1","2012","","","","","",""
"USAHA KERAJINAN ROTAN","KERAJINAN ROTAN","8","132","6","2012","","","","","",""
"Not Available","Pembuatan Batu Bata","13.75","96","3","2011","","","","","",""
"Indah Rotan","Kerajinan Rotan","6","54","1","2011","","","","","",""
"NA","Kerajinan Logam","146.3","464.1","2","2011","","","","","",""
"Nura Etsa","Kerajinan Logam","50","300","9","2011","","","","","",""
"Mekar Sari","Sandal Bandol","17","51","3","2011","","","","","",""
"NA","Industri Tempe","60.55","66","3","2011","","","","","",""
"Rotan Kali Banjaran","Kerajinan Rotan","20.7","84","2","2011","","","","","",""
"Mhasa Rumah Bingkai","Pigura","14","76","2","2011","","","","","",""
"TRASO","CINCIN SUMUR","6","72","2","2012","","","","","",""
"USAHA PERCETAKAN CINCIN SUMUR","PERCETAKAN CINCIN SUMUR","25","144","4","2012","","","","","",""
"PANDAI BESI","PANDAI BESI","7","56","3","2012","","","","","",""
"TGK ANWAR TRASO","USAHA CINCIN SUMUR","20","40","2","2012","","","","","",""
"TOKO KACA","ALUMANIUM","25","132","4","2012","","","","","",""
"Wiwiek","Pembuatan Amplang","147.75","675","11","2008","","","","","",""
"Warung Ramika","Pembutan Makanan Khas Banjar","603.43","240","2","2008","","","","","",""
"Kerupuk Haruan 3H ( Handayani )","Pembutan Kerupuk","20.2","23","5","2008","","","","","",""
"Kerupuk Haruan Dan Udang Prod. Akli","Pembutan Kerupuk","8.61","48","4","2008","","","","","",""
"Norsinah","Pembutan Kerupuk","4.65","70","5","2008","","","","","",""
"Mastifah","Pembutan Kerupuk","7.16","17.5","4","2008","","","","","",""
"Ramina","Pembutan Kue Bingka","7.2","78","4","2008","","","","","",""
"Mahrita","Pembutan Kerupuk","6.22","12","1","2008","","","","","",""
"Supian Hadi","Pembutan Tajau","11.6","50","6","2008","","","","","",""
"Masrani","Pembutan Kerupuk","5.6","33","4","2008","","","","","",""
"Mayasin","Pembutan Tajau","6.5","46.8","3","2008","","","","","",""
"Kerupuk Udang Cap Adik Ayu","Pembutan Kerupuk","4.45","100","1","2008","","","","","",""
"Kasmiah","Pembutan Bakwan, tahu isi dan lain lain","4.82","32.4","2","2008","","","","","",""
"Rusmaniah","Pembutan Kerupuk","5.42","20","2","2008","","","","","",""
"Rukayah","Pembutan Ketupat / Lapat","3.48","19.8","1","2008","","","","","",""
"Jumiati","Pembutan Kerupuk","5","26.95","2","2008","","","","","",""
"Normiyah","Pembutan Kerupuk","5.97","20","2","2008","","","","","",""
"Bayu Cs","Pembutan Susu Kedelai","24","534","7","2008","","","","","",""
"Rabiatul Adawiah","Pembutan Roti","5.78","18","2","2008","","","","","",""
"Putriza Gypsum","Pembutan Gypsum","38.7","400","12","2008","","","","","",""
"Bakso Malang","Pembutan Bakso","28.85","63","12","2008","","","","","",""
"Toko Kerajinan Hutan","Pembutan Rotan","29.5","26.5","3","2008","","","","","",""
"Meubel Karya Jadi","Pembutan Lemari","29","266","5","2008","","","","","",""
"Meubel Ikhsan","Pembutan Lemari","40.5","181","3","2008","","","","","",""
"Keramik Fitri","Pembuatan Pot","1.63","87","2","2008","","","","","",""
"Usaha Keramik Kartini","Pembuatan Pot","12.15","20","2","2008","","","","","",""
"Usaha Tempe Irmawati","Pembuatan Tempe","23.5","7.2","1","2008","","","","","",""
"UD Megah Saro Tamar","Pembuatan Souvenir","11","27","17","2008","","","","","",""
"Tempe Sumber Jaya","Pengolahan Kedele","43.41","95","2","2008","","","","","",""
"Alfian Silver","Pembuatan Keris","117.5","420","7","2008","","","","","",""
"MEUBEL FABIAN","INDUSTRI RUMAH KAYU","229","78","4","2010","","","","","",""
"Rafel","Konveksi Pakaian","26.9","20","2","2009","","","","","",""
"Usaha Batu Merah Ngantung","Pembuatan Batu Bata","34.9","221","6","2008","","","","","",""
"Usaha Batu Merah JamalUDdin","Pembuatan Batu Bata","115.5","600","25","2008","","","","","",""
"Sari Bulan Tenun","Pembuatan Pakaian","30.5","78","4","2008","","","","","",""
"Usaha Batu Merah Dg. Taba","Pembuatan Batu Bata","32.6","260","6","2008","","","","","",""
"Meubel Panggengtungan","Pembuatan Meubel","74","162","7","2008","","","","","",""
"Usaha Gowa Mandiri","Pembuatan Jagung Bakar","59.6","369","5","2008","","","","","",""
"Asrah","Pembuatan Pakaian","79.3","250","4","2008","","","","","",""
"Percetakan Pribadi","Percetakan","175","140","2","2008","","","","","",""
"UD. Karya Nur","Percetakan","157","230","8","2008","","","","","",""
"Kompor Arwin","Pembuatan Kompor","19","230","13","2008","","","","","",""
"Pempek Rendy","Usaha Pempek","183.31","580","1","2010","","","","","",""
"Pembuatan Roti Tape","Pembuatan Roti Tape","45","78","2","2009","","","","","",""
"Kopi Bubuk","Kopi Bubuk","109","108","1","2009","","","","","",""
"Ludayo Funiture","Furniture","138","108","6","2009","","","","","",""
"Pengrajin Songket Harapan Baru","Usaha Tenun Songket","40.5","120","30","2010","","","","","",""
"Pempek Jimmy Devaten","Usaha Pempek","181","250","5","2010","","","","","",""
"Pempek Mang Unus","Usaha Pempek","166.65","576","3","2010","","","","","",""
"Kelempang Ibu Saleha","Usaha Pembuatan Kelempang","74.5","122","6","2010","","","","","",""
"Pempek Anwar","Usaha Pempek","33.5","37","2","2010","","","","","",""
"Husin Nawi","Pembuatan Tempe","427","1,760","3","2008","","","","","",""
"Es Krim Puding Dani","Pembuatan Es Cream Puding","194.36","108","3","2008","","","","","",""
"Cv. Cipta Karya","Pembuatan Batu Nisan Dan Kuburan","23.2","212","3","2008","","","","","",""
"Kripik Meong","Pembuatan Kripik Ubi","78.92","253.2","2","2008","","","","","",""
"-","Pembuatan Kripik Ubi","76.95","304","1","2008","","","","","",""
"Bengkel Las Pak Jalil","Pembuatan Konstruksi Baja","97.5","1,504","13","2008","","","","","",""
"Porta Sabar Bengkel Las Listrik","Pembuatan Telekung","219","720","25","2008","","","","","",""
"Null","Pembuatan Telekung","19.3","860","9","2008","","","","","",""
"Pengerajin Patung Tari Perang","Pengerajin Patung Tari Perang","202","30","1","2012","","","","","",""
"Pengerajin Parang","Pengerajin Paraang","206","40","8","2012","","","","","",""
"Rampat","Pembuatan Cireng Isi","442.3","2,160","26","2008","","","","","",""
"Hdy Collection","Pembuatan Boneka","62","144","9","2008","","","","","",""
"Pt. Wong Bandung","Pembuatan Corporate Gift Diantaranya : Agenda","161.43","840","15","2008","","","","","",""
"Endang Product","Camilan","34.3","36","3","2013","","","","","",""
"Apolo","Kerupuk","140","790","30","2011","","","","","",""
"Erlanda Bakery","Pembuatan Donat, Roti Goreng, Molen & Sus","528.6","913.92","9","2008","","","","","",""
"Omah Klambi","Pembuatan Pakaian Muslim","92.5","300","8","2008","","","","","",""
"Medinh","Pembuatan Tas","185.6","1,080","25","2008","","","","","",""
"Az-Zahra","Pembuatan Jaket Kaos","488.72","2,340","20","2008","","","","","",""
"Cv.T. Kardin Pisau Indonesia","Pembuatan Pisau","190.8","1,904.64","35","2008","","","","","",""
"Raos","Pembuatan Keripik Singkong","100.11","1,062.72","9","2008","","","","","",""
"Ramalima","Pembuatan Lampu Hias Daur Ulang","91.5","60","16","2008","","","","","",""
"Ivy Boneka","Pembuatan Boneka","83","220","25","2008","","","","","",""
"-","Produksi Nata De Coco","37.99","97.6","3","2011","","","","","",""
"-","Nata De Coco","68","324.3","4","2011","","","","","",""
"-","Pengrajin Sale","70.6","445","5","2011","","","","","",""
"Null","Pembuatan Sepatu Pria","122","72","4","2008","","","","","",""
"Usaha Makanan Ringan "" M. Wahyu""","Pembuatan Kerupuk","9.8","280","9","2008","","","","","",""
"Usaha Pembuatan Mukena","Pembuatan Mukenah","20.9","140","10","2008","","","","","",""
"Pilar","Pembuatan Pilar","20.2","25.5","3","2008","","","","","",""
"Null","Pembuatan Sepatu Wanita","244.8","588","12","2008","","","","","",""
"Usaha Tempe ""Prima Rasa Jogya""","Pembuatan Tempe","10","1,850","1","2008","","","","","",""
"Null","Pembuatan Tilam","147.8","841.5","4","2008","","","","","",""
"Agli Gordyn","Pembuatan Gordyn","56.5","177.84","3","2008","","","","","",""
"Null","Pembuatan Tilam","21.1","767.36","2","2008","","","","","",""
"Sate Ayam Madura","Pembuatan Sate Madura","115.2","285","3","2008","","","","","",""
"Gilang","Pembuatan Sumpia","7.15","308.88","7","2008","","","","","",""
"Usaha Rajuta CMT INTAN","Pembuatan Baju Sweeter","167.2","108","20","2008","","","","","",""
"Bili Art Shop","Pembuatan Souvenir Ukiran","21.9","102","6","2008","","","","","",""
"Asparagus Fresh","Pembuatan Cover pot","79.76","72","5","2008","","","","","",""
"Teng Teng Manis Putri Tunggal","Pembuatan Teng Teng Manis","19.7","117.6","4","2008","","","","","",""
